Local Time,Unix Time,PM1.0,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude,
Wed Feb 15 15:31:42 2023,1676503902.250385,0,0,0,27.57296875,25453,12.997475600624908,1012.2358853986661,8.446620609409687,
Wed Feb 15 15:31:43 2023,1676503903.4433188,0,0,0,27.581953125,7818,12.98824213087465,1012.2349203691923,8.454661659677846,
Wed Feb 15 15:31:44 2023,1676503904.6362524,0,0,0,27.602265625,9893,12.945866924092787,1012.243714153179,8.381388210952247,
Wed Feb 15 15:31:45 2023,1676503905.829251,0,0,0,27.617109375,11086,12.956081004626164,1012.2384335390968,8.425388411785473,
Wed Feb 15 15:31:47 2023,1676503907.0225043,0,0,0,27.6208203125,12591,12.98984895122006,1012.2410041336052,8.403969161020628,
Wed Feb 15 15:31:48 2023,1676503908.2218614,0,0,0,27.613203125,13416,12.960721260266045,1012.240733444676,8.406224650439368,
Wed Feb 15 15:31:49 2023,1676503909.4215229,0,0,0,27.602265625,14082,12.91226718287423,1012.243714153179,8.381388210952247,
Wed Feb 15 15:31:50 2023,1676503910.6205018,0,0,0,27.58546875,14749,12.834819822268987,1012.2371740542086,8.43588297399544,
Wed Feb 15 15:31:51 2023,1676503911.8195648,0,0,0,27.5633984375,14939,12.776389169062437,1012.2324396875764,8.475331819090695,
Wed Feb 15 15:31:53 2023,1676503913.0190668,0,0,0,27.5372265625,15375,12.876010802925837,1012.2227681209696,8.555920071089924,
Wed Feb 15 15:31:54 2023,1676503914.2182014,0,0,0,27.5071484375,15770,13.11005577416436,1012.2240370899722,8.545346361411635,
Wed Feb 15 15:31:55 2023,1676503915.4168866,0,0,0,27.4755078125,16221,13.42159463921006,1012.2296785353891,8.498339034189001,
Wed Feb 15 15:31:56 2023,1676503916.6162724,0,0,0,27.4409375,16762,13.68551917347579,1012.2236386992112,8.548665959263829,
Wed Feb 15 15:31:57 2023,1676503917.8149245,0,0,0,27.4065625,17139,13.8919460560984,1012.226555222827,8.524364000649195,
Wed Feb 15 15:31:59 2023,1676503919.0143175,0,0,0,27.365546875,17873,14.059647745259323,1012.2307742589353,8.489208945589088,
Wed Feb 15 15:32:00 2023,1676503920.2139482,0,0,0,27.32453125,18348,14.130542505649908,1012.2315281465751,8.482927200640622,
Wed Feb 15 15:32:01 2023,1676503921.4065735,0,0,0,27.2852734375,18897,14.12879336717469,1012.2247609570335,8.53931472940314,
Wed Feb 15 15:32:02 2023,1676503922.6059728,0,0,0,27.24796875,19326,14.093200058039386,1012.2263472715379,8.526096754712222,
Wed Feb 15 15:32:03 2023,1676503923.804933,0,0,0,27.21359375,19847,13.975425355952819,1012.2309611660069,8.487651547967454,
Wed Feb 15 15:32:05 2023,1676503925.0043304,0,0,0,27.1794140625,20228,13.823960603550411,1012.2272460578804,8.51860761981109,
Wed Feb 15 15:32:06 2023,1676503926.2074325,0,0,0,27.1446484375,20624,13.663049942406328,1012.2225735573721,8.557541277118627,
Wed Feb 15 15:32:07 2023,1676503927.406877,0,0,0,27.1087109375,20957,13.511990588508331,1012.221174851514,8.569196035997969,
Wed Feb 15 15:32:08 2023,1676503928.606134,0,0,0,27.074140625,21382,13.36603633838505,1012.2081703509443,8.67755705467646,
Wed Feb 15 15:32:09 2023,1676503929.8049045,0,0,0,27.0391796875,21362,13.249124723360895,1012.2066211430155,8.69046602612497,
Wed Feb 15 15:32:10 2023,1676503930.9971275,0,0,0,27.0034375,21570,13.228401087528127,1012.1986133525544,8.757192210267993,
Wed Feb 15 15:32:12 2023,1676503932.1958985,0,0,0,26.96828125,22065,13.250959084985446,1012.1915533946413,8.816020783911794,
Wed Feb 15 15:32:13 2023,1676503933.3882785,0,0,0,26.9341015625,22423,13.26394539230203,1012.1895315111115,8.832868611850614,
Wed Feb 15 15:32:14 2023,1676503934.5871975,0,0,0,26.8993359375,22840,13.243264699509604,1012.1882792011473,8.843303797718772,
Wed Feb 15 15:32:15 2023,1676503935.7859957,0,0,0,26.8645703125,24240,13.198574788932993,1012.1870215874364,8.853783188901389,
Wed Feb 15 15:32:16 2023,1676503936.9853303,0,0,0,26.8305859375,24495,13.110747841217433,1012.1973924446634,8.767365656472514,
